id;nome;sobrenome;email;senha;tipo_usuario;ativo
1;yippee almost;yum geez after;Salvador10@bol.com.br;instead;ALUNO;false
2;ugh whoa whoever;ick yet proofread;Danilo.Macedo21@live.com;excellent;ALUNO;false
3;detain while;anti blissfully;Liz.Barros@live.com;aha throbbing;ALUNO;true
4;milky ideal;failing justly;Aline79@bol.com.br;lock pish hopelessly;PROFESSOR;true
5;ouch;satisfy;Daniel_Nogueira@gmail.com;ugh;ALUNO;true
6;of;awkwardly along;Vicente_Martins86@live.com;against delightfully;PROFESSOR;true
7;ownership bleakly mallard;gown;Vitor8@gmail.com;excitable;ALUNO;true
8;orientate;on oh;Lavinia.Martins84@hotmail.com;lid;PROFESSOR;false
9;as oof sophisticated;useless;Ofelia_Moreira@yahoo.com;randomize;ALUNO;true
10;probate trusty;as always youthfully;Daniel.Silva@bol.com.br;ick quarterly;ALUNO;false
